373	97	40
66	494	40
211	250	40
452	454	40
405	231	40
343	478	40
267	412	40
509	160	40
187	364	40
235	310	40
434	302	40
172	148	40
542	488	40
430	115	40
473	232	40
176	412	40
124	222	40
502	98	40
105	132	40
536	342	40
175	224	40
370	537	40
221	424	40
145	447	40
127	383	40
176	505	40
273	81	40
483	426	40
138	308	40
482	488	40
75	437	40
146	55	40
313	265	40
435	412	40
77	281	40
438	185	40
393	423	40
547	430	40
292	458	40
61	235	40
254	240	40
331	142	40
329	50	40
55	381	40
113	516	40
331	428	40
393	474	40
210	112	40
63	123	40
118	176	40
186	550	40
149	349	40
133	268	40
298	190	40
358	299	40
445	261	40
397	171	40
154	103	40
413	75	40
419	349	40
528	283	40
469	378	40
50	51	40
60	325	40
190	310	40
358	198	40
532	50	40
543	231	40
223	186	40
450	54	40
484	306	40
315	524	40
68	185	40
78	540	40
228	518	40
242	138	40
220	68	40
435	540	40
108	80	40
204	471	40
503	542	40
105	473	40
289	125	40
237	360	40
514	457	40
322	222	40
244	469	40
398	281	40
434	492	40
270	285	40
524	386	40
274	508	40
284	550	40
328	100	40
545	138	40
542	190	40
95	351	40
460	148	40
366	240	40
544	90	40
496	198	40
547	544	40
142	546	40
490	56	40
177	272	40
379	52	40
374	138	40
158	186	40
460	338	40
