237	444	40
195	311	40
318	181	40
200	355	40
284	448	40
454	359	40
355	412	40
189	473	40
158	272	40
434	399	40
489	171	40
377	158	40
240	321	40
169	410	40
437	194	40
483	285	40
403	273	40
357	455	40
274	168	40
309	482	40
446	249	40
158	361	40
416	474	40
464	457	40
208	225	40
248	493	40
487	215	40
403	434	40
180	166	40
153	453	40
405	344	40
246	390	40
355	500	40
452	313	40
229	172	40
163	231	40
316	402	40
223	265	40
496	382	40
493	424	40
154	317	40
411	227	40
246	209	40
438	151	40
500	498	40
500	342	40
358	197	40
210	411	40
